,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1191,"frozenset({'01', 'Red Blend'})","frozenset({'Washington', '11'})",0.017810190008433795,0.013841345438309272,0.0034727389988589573,0.19498607242339833,14.087219576481864,0.003226222006630301,1.2250206124140033
1192,"frozenset({'Washington', '11'})","frozenset({'01', 'Red Blend'})",0.013841345438309272,0.017810190008433795,0.0034727389988589573,0.25089605734767023,14.087219576481862,0.003226222006630301,1.3111529042471146
1081,"frozenset({'14', '01'})","frozenset({'Chardonnay', 'Washington'})",0.0068462568834648015,0.01914967505085082,0.0014387061566701394,0.21014492753623187,10.973811669294886,0.001307602562037138,1.2418105031466293
1082,"frozenset({'Chardonnay', 'Washington'})","frozenset({'14', '01'})",0.01914967505085082,0.0068462568834648015,0.0014387061566701394,0.07512953367875648,10.973811669294886,0.001307602562037138,1.073830097599391
1022,"frozenset({'Washington', '12'})","frozenset({'01', 'Red Blend'})",0.020985265664533414,0.017810190008433795,0.00372079178449174,0.1773049645390071,9.955253956024418,0.0033470402156289382,1.1938686483518177
1021,"frozenset({'01', 'Red Blend'})","frozenset({'Washington', '12'})",0.017810190008433795,0.020985265664533414,0.00372079178449174,0.20891364902506965,9.955253956024418,0.0033470402156289382,1.2375573578395511
731,frozenset({'New York'}),"frozenset({'14', '04', 'Chardonnay'})",0.02019149675050851,0.04742769261298804,0.009326784739792628,0.4619164619164619,9.739382973692598,0.008369148638513364,1.7703056123585108
718,"frozenset({'14', '04', 'Chardonnay'})",frozenset({'New York'}),0.04742769261298804,0.02019149675050851,0.009326784739792628,0.19665271966527195,9.739382973692596,0.008369148638513364,1.2196574597741068
1193,"frozenset({'11', 'Red Blend'})","frozenset({'01', 'Washington'})",0.01656992608026988,0.02455722577764548,0.0034727389988589573,0.20958083832335334,8.534385773906735,0.0030658275829868738,1.234082903751009
1190,"frozenset({'01', 'Washington'})","frozenset({'11', 'Red Blend'})",0.02455722577764548,0.01656992608026988,0.0034727389988589573,0.14141414141414144,8.534385773906735,0.0030658275829868738,1.1454067919770974
724,"frozenset({'14', 'New York'})","frozenset({'04', 'Chardonnay'})",0.01661953663739644,0.06821451604901523,0.009326784739792628,0.5611940298507463,8.226900407055632,0.008193091091113752,2.123456715126394
725,"frozenset({'04', 'Chardonnay'})","frozenset({'14', 'New York'})",0.06821451604901523,0.01661953663739644,0.009326784739792628,0.13672727272727273,8.22690040705563,0.008193091091113752,1.139130696818517
723,"frozenset({'14', 'Chardonnay'})","frozenset({'04', 'New York'})",0.09798085032494915,0.013246018752790594,0.009326784739792628,0.09518987341772152,7.1863006684682125,0.008028928558973983,1.0905646966778055
726,"frozenset({'04', 'New York'})","frozenset({'14', 'Chardonnay'})",0.013246018752790594,0.09798085032494915,0.009326784739792628,0.7041198501872659,7.186300668468212,0.008028928558973983,3.0485963666232725
797,"frozenset({'02', 'Red Blend'})","frozenset({'13', 'Washington'})",0.03695986505928461,0.035025053331348914,0.008979510839906732,0.2429530201342282,6.936549613095804,0.007684989595085829,1.2746566228158602
792,"frozenset({'13', 'Washington'})","frozenset({'02', 'Red Blend'})",0.035025053331348914,0.03695986505928461,0.008979510839906732,0.2563739376770538,6.936549613095804,0.007684989595085829,1.295059686225038
712,"frozenset({'04', 'Chardonnay'})",frozenset({'New York'}),0.06821451604901523,0.02019149675050851,0.009475616411172297,0.1389090909090909,6.879583649765467,0.008098263232031095,1.1378688276757185
717,frozenset({'New York'}),"frozenset({'04', 'Chardonnay'})",0.02019149675050851,0.06821451604901523,0.009475616411172297,0.4692874692874692,6.879583649765467,0.008098263232031095,1.7557254257780128
998,"frozenset({'02', 'Red Blend'})","frozenset({'Washington', '12'})",0.03695986505928461,0.020985265664533414,0.005209108498288436,0.14093959731543626,6.716121662144795,0.004433495911094042,1.139634339187379
995,"frozenset({'Washington', '12'})","frozenset({'02', 'Red Blend'})",0.020985265664533414,0.03695986505928461,0.005209108498288436,0.24822695035460993,6.716121662144795,0.004433495911094042,1.2810250851569893
737,frozenset({'New York'}),"frozenset({'14', 'Chardonnay'})",0.02019149675050851,0.09798085032494915,0.012849134295778141,0.6363636363636364,6.494775604142693,0.01087075427482987,2.4805526616063895
732,"frozenset({'14', 'Chardonnay'})",frozenset({'New York'}),0.09798085032494915,0.02019149675050851,0.012849134295778141,0.1311392405063291,6.494775604142692,0.01087075427482987,1.1276933530989195
277,"frozenset({'14', 'Pinot Noir'})","frozenset({'04', 'Oregon'})",0.04003571960113112,0.017760579451307237,0.004613781812769758,0.11524163568773235,6.488619135635814,0.00390272423390361,1.1101781686033545
278,"frozenset({'04', 'Oregon'})","frozenset({'14', 'Pinot Noir'})",0.017760579451307237,0.04003571960113112,0.004613781812769758,0.2597765363128492,6.488619135635813,0.00390272423390361,1.2968574052180946
1144,frozenset({'Washington'}),"frozenset({'13', '01', 'Red Blend'})",0.11941261100362158,0.0035719601131120704,0.0027285806419606092,0.022850020772746157,6.397053732170059,0.0023020435584531055,1.019728865649549
1135,"frozenset({'13', '01', 'Red Blend'})",frozenset({'Washington'}),0.0035719601131120704,0.11941261100362158,0.0027285806419606092,0.7638888888888888,6.3970537321700585,0.0023020435584531055,3.7295465886905435
1023,"frozenset({'12', 'Red Blend'})","frozenset({'01', 'Washington'})",0.024110730763506474,0.02455722577764548,0.00372079178449174,0.154320987654321,6.284137673026563,0.003128699125468289,1.1534432804673096
1020,"frozenset({'01', 'Washington'})","frozenset({'12', 'Red Blend'})",0.02455722577764548,0.024110730763506474,0.00372079178449174,0.15151515151515152,6.284137673026562,0.003128699125468289,1.1501552101715817
932,"frozenset({'03', 'Red Blend'})","frozenset({'14', 'Washington'})",0.036711812273651834,0.04956094656942998,0.011360817581981446,0.30945945945945946,6.244018342666991,0.009541345415420044,1.3763696664160898
933,"frozenset({'14', 'Washington'})","frozenset({'03', 'Red Blend'})",0.04956094656942998,0.036711812273651834,0.011360817581981446,0.22922922922922923,6.244018342666991,0.009541345415420044,1.249772596803405
698,"frozenset({'03', 'New York'})","frozenset({'14', 'Chardonnay'})",0.005357940169668105,0.09798085032494915,0.003175075656099618,0.5925925925925926,6.048045007032349,0.002650100122285335,2.2140470037478517
699,"frozenset({'14', 'Chardonnay'})","frozenset({'03', 'New York'})",0.09798085032494915,0.005357940169668105,0.003175075656099618,0.03240506329113924,6.048045007032349,0.002650100122285335,1.0279529399083756
857,"frozenset({'04', 'Washington'})","frozenset({'14', 'Red Blend'})",0.020389938979014734,0.06285657587934712,0.007739246911742819,0.3795620437956205,6.038541528641138,0.006457605165133122,1.5104546953474052
856,"frozenset({'14', 'Red Blend'})","frozenset({'04', 'Washington'})",0.06285657587934712,0.020389938979014734,0.007739246911742819,0.12312549329123916,6.038541528641138,0.006457605165133122,1.1171610686890983
934,"frozenset({'14', 'Red Blend'})","frozenset({'03', 'Washington'})",0.06285657587934712,0.031056208761224387,0.011360817581981446,0.180741910023678,5.8198317577432555,0.0094087306394567,1.1827088473020508
931,"frozenset({'03', 'Washington'})","frozenset({'14', 'Red Blend'})",0.031056208761224387,0.06285657587934712,0.011360817581981446,0.36581469648562304,5.819831757743255,0.0094087306394567,1.4777123010063695
790,"frozenset({'13', '02', 'Red Blend'})",frozenset({'Washington'}),0.012948355410031255,0.11941261100362158,0.008979510839906732,0.6934865900383141,5.807482008891689,0.007433313912192031,2.8729163566006846
799,frozenset({'Washington'}),"frozenset({'13', '02', 'Red Blend'})",0.11941261100362158,0.012948355410031255,0.008979510839906732,0.0751973410884919,5.807482008891689,0.007433313912192031,1.0673105608841216
705,frozenset({'New York'}),"frozenset({'03', '14', 'Chardonnay'})",0.02019149675050851,0.028526070347770004,0.003175075656099618,0.15724815724815724,5.512436705480184,0.002599091599367843,1.1527402022404012
692,"frozenset({'03', '14', 'Chardonnay'})",frozenset({'New York'}),0.028526070347770004,0.02019149675050851,0.003175075656099618,0.11130434782608696,5.512436705480184,0.002599091599367843,1.1025242453394475
722,"frozenset({'14', '04'})","frozenset({'Chardonnay', 'New York'})",0.12501860395892245,0.013642903209803046,0.009326784739792628,0.0746031746031746,5.468277056277056,0.0076211680265563485,1.065874735811019
727,"frozenset({'Chardonnay', 'New York'})","frozenset({'14', '04'})",0.013642903209803046,0.12501860395892245,0.009326784739792628,0.6836363636363636,5.468277056277056,0.0076211680265563485,2.7657457920838655
1059,"frozenset({'Chardonnay', 'Washington'})","frozenset({'14', '02'})",0.01914967505085082,0.042813910800218284,0.004464950141390088,0.23316062176165803,5.445908056604567,0.0036450776619097952,1.2482224001051208
1058,"frozenset({'14', '02'})","frozenset({'Chardonnay', 'Washington'})",0.042813910800218284,0.01914967505085082,0.004464950141390088,0.10428736964078796,5.445908056604567,0.0036450776619097952,1.0950502334167087
966,frozenset({'Washington'}),"frozenset({'14', '02', 'Red Blend'})",0.11941261100362158,0.009971721982437863,0.006250930197946123,0.05234732031574574,5.249576794052174,0.005060180839821009,1.0447163810557967
957,"frozenset({'14', '02', 'Red Blend'})",frozenset({'Washington'}),0.009971721982437863,0.11941261100362158,0.006250930197946123,0.6268656716417911,5.249576794052174,0.005060180839821009,2.3599742025102945
